id,cabinet_id,party_id,pm,description
727,286,1727,t,""
729,862,543,f,""
730,862,1727,t,""
732,778,543,f,""
733,778,1727,t,""
735,107,772,f,""
736,107,558,t,""
737,529,772,f,""
738,529,558,t,""
739,85,558,f,""
740,85,1727,t,""
1035,241,1193,t,""
1036,48,1193,t,""
1037,649,1193,t,""
1038,8,1193,t,""
1039,787,1193,t,""
1040,789,1193,t,""
1041,656,1193,t,""
1042,502,1193,t,""
1043,59,1193,t,""
1044,337,1193,t,""
1045,227,1193,t,""
1046,727,1193,t,""
1047,180,1193,t,""
1048,242,1193,t,""
1049,568,1193,t,""
1050,568,170,f,""
1051,146,1193,t,""
1052,283,1193,t,""
1053,743,1193,t,""
1054,106,1193,t,""
1055,213,1193,t,""
1056,253,1193,t,""
1057,417,940,f,""
1058,417,1053,f,""
1059,417,86,f,""
1060,417,837,f,""
1061,417,547,f,""
1062,417,1327,t,""
1063,432,1053,f,""
1064,432,837,f,""
1065,417,1146,f,""
1066,432,547,t,""
1067,432,1327,f,""
1068,868,940,t,""
1069,868,1193,f,""
1070,868,1146,f,""
1071,800,940,f,""
1072,800,1193,t,""
1073,800,1146,f,""
1074,371,1193,t,""
1075,665,837,f,""
1076,665,1193,t,""
1077,665,462,f,""
1078,211,837,f,""
1079,211,1193,t,""
1080,211,1382,f,""
1081,840,837,f,""
1082,840,1193,t,""
1083,840,1382,f,""
1084,770,837,f,""
1085,770,1193,t,""
1484,99,1556,t,""
1485,88,1556,t,""
1486,691,773,t,""
1487,729,773,t,""
1488,404,773,t,""
1489,237,773,t,""
1490,63,773,t,""
1491,760,1556,t,""
1492,733,1556,t,""
1493,216,773,t,""
1494,419,1556,t,""
1495,7,1556,t,""
1496,590,1556,t,""
1497,273,773,t,""
1498,646,773,t,""
1499,297,773,t,""
1500,515,773,t,""
1501,678,773,t,""
1502,838,1556,t,""
1503,19,1556,t,""
1504,516,1556,t,""
1657,119,1556,t,""
1658,807,658,t,""
1659,807,1058,f,""
1660,306,1058,f,""
1661,306,658,t,""
1674,850,1193,t,""
1675,850,837,f,""
1676,679,837,f,""
1677,679,1193,t,""
1678,390,1193,t,""
1679,134,1193,t,""
1680,494,1193,t,""
1681,494,837,f,""
1682,390,837,f,""
1683,134,837,f,""
1695,163,1193,t,""
1696,163,1382,f,""
1697,163,837,f,""
1710,308,368,t,""
1711,610,1255,t,""
1712,612,1255,t,""
1892,472,1727,t,""
1893,472,543,f,""
1900,374,439,t,""
1908,780,1193,t,""
1930,750,368,t,""
1931,327,368,t,""
1963,21,401,f,""
1964,72,947,t,""
1976,374,4,f,""
1977,374,940,f,Social Democrats (SDP) withdrew from the coalition after PM Hatoyama dismissed SDP chief Mizuho Fukushima as consumer affairs minister on 30 May 2010 following conflict over a US military base.
1980,874,773,t,""
1981,874,659,f,""
1992,493,439,t,""
1993,493,4,f,""
1994,376,1727,t,""
1996,376,912,f,""
1997,376,543,f,Free Democratic (FDP) party group split on 23 February 1956. Its ministers remained in office and formed the Free People's Party (FVP) party group.
1998,633,358,f,""
1999,633,1727,t,""
2001,633,912,f,""
2026,697,794,t,""
2027,619,794,t,""
2097,184,773,t,""
2125,883,658,t,""
2126,883,1058,f,""
2139,887,1193,t,""
2146,891,1734,f,""
2147,891,1726,t,""
2148,892,940,t,""
2149,892,1734,f,""
2150,893,1734,t,""
2151,893,1733,f,""
2152,894,1726,t,""
2153,895,1726,t,""
2154,895,1734,f,""
2155,896,1726,t,""
2156,897,1726,t,""
2157,898,1755,t,""
2158,899,1722,t,""
2159,900,1193,t,""
2160,901,1193,t,""
2161,893,940,f,""
2202,915,1193,t,""
2211,919,1255,t,""
2212,916,462,f,""
2411,892,1733,f,""
2419,969,439,t,""
2420,969,4,f,""
2571,417,163,f,Democratic Reform Party (DRP) with no seats in the lower house but 11 seats in the upper house.
2573,1037,1539,t,""
2574,1037,873,f,""
2575,1037,1492,f,""
2576,1038,1539,t,""
2577,1038,1492,f,""
2578,1038,873,f,""
2597,1044,1193,t,""
2598,1044,837,f,""
2683,1071,1727,t,""
2684,1071,558,f,""
2757,1103,1539,t,Left-wing Socialist (PS) ministers where removed through a cabinet resignation and a reshuffle.
2758,1103,1492,f,""
2922,367,1539,f,""
2923,826,1414,f,""
2924,329,947,t,""
2925,411,947,t,""
2926,594,890,f,""
2934,349,947,t,""
2935,698,947,t,""
2936,526,947,t,""
2938,21,947,t,""
2940,1141,1539,f,""
2941,1141,1492,f,""
2942,1142,1086,f,""
2943,1142,401,f,""
2944,1142,1297,f,""
2945,150,890,f,""
2946,330,1297,f,""
2947,355,1086,f,""
2948,355,890,t,""
2949,355,1539,f,""
2950,355,1297,f,""
2967,1148,1539,t,""
2968,1148,1492,f,""
2971,197,947,t,""
2975,1150,1539,t,""
2976,636,2280,f,""
2977,758,2280,f,""
2978,1142,2280,f,""
2979,367,1297,f,""
2980,367,2280,t,""
2981,104,2280,f,""
2982,826,2280,t,""
2983,32,2280,f,""
2984,658,2280,f,""
2985,557,2280,f,""
2986,557,2358,f,""
2987,400,2358,f,""
2988,400,2280,f,""
2989,400,1094,f,""
2990,414,2280,f,""
2991,414,890,f,""
2992,397,2280,f,""
2993,591,890,f,""
2994,458,890,f,""
2995,197,1094,f,""
3000,72,509,f,""
3010,1156,1193,t,""
3011,1156,837,f,""
3035,1162,773,t,""
3039,1164,368,t,""
3040,1165,368,t,""
3041,1166,794,t,""
3042,1167,368,t,""
3043,1168,368,t,""
3044,1169,794,t,""
3045,1170,794,t,""
3046,1171,794,t,""
3057,1176,368,t,""
3281,1286,773,t,""
3282,1286,2479,f,""
3283,1286,1017,f,""
3284,1287,773,t,""
3285,1287,1556,f,""
3286,1287,659,f,""
3287,1287,1017,f,""
3288,1288,773,t,""
3289,1288,1556,f,""
3290,1288,659,f,""
3291,1288,1017,f,""
3292,1289,2479,t,""
3293,1289,773,f,""
3294,1289,659,f,""
3295,1289,1017,f,""
3296,1290,1556,t,""
3297,1291,773,t,""
3298,1292,1556,t,""
3299,1293,773,t,""
3300,1294,773,t,""
3301,1295,2501,t,""
3302,1295,2500,f,""
3303,1295,2508,f,""
3317,1305,1539,t,""
3318,1305,401,f,""
3319,1305,686,f,""
3320,1306,401,t,""
3321,1306,1539,f,""
3322,1306,686,f,""
3323,1307,1539,t,""
3324,1307,401,f,""
3325,1307,686,f,""
3382,1387,401,t,""
3383,1387,2587,f,""
3384,1387,2585,f,""
3385,1388,2587,t,""
3386,1388,401,f,""
3387,1388,2585,f,""
3388,1406,1539,t,""
3389,1406,1492,f,""
3390,1406,873,f,""
3397,1409,401,t,""
3398,1409,2587,f,""
3399,1409,2590,f,""
3400,1390,401,t,""
3401,1390,2587,f,""
3402,1390,2590,f,""
3403,1391,2590,t,""
3404,1391,401,f,""
3405,1391,2587,f,""
3406,1391,2585,f,""
3407,1392,2585,f,""
3408,1392,2590,t,""
3409,1392,401,f,""
3410,1392,2587,f,""
3411,1393,401,t,""
3412,1393,2587,f,""
3413,1393,2585,f,""
3414,1393,2594,f,""
3415,1394,401,t,""
3416,1394,2585,f,""
3417,1394,2594,f,""
3418,1395,2587,t,""
3419,1395,2585,f,""
3420,1395,2594,f,""
3421,1395,401,f,""
3422,1396,2594,t,""
3423,1397,2587,t,""
3424,1397,401,f,""
3425,1397,2581,f,""
3426,1398,2594,f,""
3427,1398,2585,f,""
3428,1398,401,t,""
3429,1398,2587,f,""
3430,1399,2581,t,""
3431,1399,401,f,""
3432,1399,2585,f,""
3433,1399,2587,f,""
3434,1400,2594,t,""
3435,1400,401,f,""
3436,1400,2585,f,""
3437,1400,2587,f,""
3438,1402,2594,t,""
3439,1402,1539,f,""
3440,1402,401,f,""
3441,1402,2581,f,""
3442,1402,2593,f,""
3443,1403,2594,t,""
3444,1403,401,f,""
3445,1403,1539,f,""
3446,1403,2581,f,""
3447,1404,2581,t,""
3448,1404,2594,f,""
3449,1404,401,f,""
3450,1404,1539,f,""
3451,1404,2585,f,""
3452,1404,2587,f,""
3453,1405,2594,t,""
3454,1359,401,t,""
3455,1359,2594,f,""
3456,1359,2587,f,""
3457,1358,2585,f,""
3458,1358,2581,f,""
3459,1358,2587,f,""
3460,1358,2594,f,""
3461,1358,947,t,""
3462,1357,2585,f,""
3463,1357,401,f,""
3464,1357,2587,f,""
3465,1357,2581,f,""
3466,1357,947,t,""
3467,1356,2587,t,""
3468,1356,2581,f,""
3469,1356,2585,f,""
3470,1356,401,f,""
3471,1356,2594,f,""
3472,1355,2594,t,""
3473,1355,2587,f,""
3474,1355,2581,f,""
3475,1355,401,f,""
3476,1355,2585,f,""
3477,1354,2587,t,""
3478,1354,2581,f,""
3479,1354,401,f,""
3480,1353,2581,t,""
3481,1353,2587,f,""
3482,1352,401,t,""
3483,1352,2594,f,""
3484,1352,2587,f,""
3485,1351,2594,t,""
3486,1351,401,f,""
3487,1350,2594,t,""
3488,1350,401,f,""
3489,1350,2587,f,""
3490,1350,2585,f,""
3491,1348,401,t,""
3492,1348,2594,f,""
3493,1348,2585,f,""
3494,1348,2587,f,""
3495,1347,2587,t,""
3496,1347,2594,f,""
3497,1347,401,f,""
3498,1347,2585,f,""
3499,1347,2581,f,""
3500,1345,2594,t,""
3501,1345,2587,f,""
3502,1345,401,f,""
3503,1345,2585,f,""
3504,1345,2581,f,""
3505,1344,2587,t,""
3506,1344,401,f,""
3507,1344,2581,f,""
3508,1344,2594,f,""
3509,1344,2585,f,""
3510,1343,401,t,""
3511,1343,2594,f,""
3512,1343,2587,f,""
3513,1343,2585,f,""
3514,1342,2587,t,""
3515,1342,2594,f,""
3516,1342,2583,f,""
3517,1342,2585,f,""
3518,1342,2581,f,""
3519,1342,401,f,""
3520,1341,401,t,""
3521,1341,2587,f,""
3522,1341,2585,f,""
3523,1341,2594,f,""
3524,1340,2587,t,""
3525,1340,2585,f,""
3526,1340,2594,f,""
3527,1340,401,f,""
3528,1340,2581,f,""
3529,1340,2583,f,""
3530,1338,2587,t,""
3531,1338,2585,f,""
3532,1338,2581,f,""
3533,1338,2583,f,""
3534,1337,401,t,""
3535,1337,2594,f,""
3536,1337,2585,f,""
3537,1337,2581,f,""
3538,1336,2594,t,""
3539,1336,401,f,""
3540,1336,2587,f,""
3541,1336,2585,f,""
3542,1335,401,t,""
3543,1335,2594,f,""
3544,1335,2585,f,""
3545,1334,401,t,""
3546,1334,2594,f,""
3547,1335,2587,f,""
3548,1334,2587,f,""
3549,1334,2585,f,""
3550,1333,401,f,""
3551,1333,2594,f,""
3552,1333,2585,f,""
3553,1333,2587,f,""
3554,1332,401,t,""
3555,1332,2587,f,""
3556,1332,2585,f,""
3557,1332,2581,f,""
3558,1331,401,t,""
3559,1331,2585,f,""
3560,1331,2594,f,""
3561,1331,2587,f,""
3562,1330,2587,t,""
3563,1330,401,f,""
3564,1330,2581,f,""
3565,1330,2585,f,""
3566,1329,2594,t,""
3567,1329,401,f,""
3568,1329,2581,f,""
3569,1329,2585,f,""
3570,1328,947,t,""
3571,1328,401,f,""
3572,1328,2587,f,""
3573,1328,2581,f,""
3574,1328,2585,f,""
3575,1327,401,t,""
3576,1327,2587,f,""
3577,1327,2585,f,""
3578,1304,401,t,""
3579,1304,2587,f,""
3580,1304,2585,f,""
3581,1304,2583,f,""
3582,1337,2617,f,""
3583,1336,2617,f,""
3584,1335,2617,f,""
3585,1334,2617,f,""
3586,1333,2617,f,""
3587,1331,2618,f,""
3588,1329,2618,f,""
3589,1328,2618,f,""
3590,1401,2594,t,""
3591,1401,401,f,""
3592,1401,2581,f,""
3593,1401,1539,f,""
3594,1401,2587,f,""
3595,1401,2585,f,""
3596,1346,2581,f,""
3597,1346,401,f,""
3598,1346,2587,t,""
3599,1346,2594,f,""
3600,1346,2585,f,""
3601,1410,2581,f,""
3602,1410,401,f,""
3603,1410,2587,t,""
3604,1410,2594,f,""
3605,1410,2585,f,""
3606,1303,401,t,""
3607,1303,2587,f,""
3608,1303,2585,f,""
3609,1303,2594,f,""
3610,1304,2594,f,""
3611,1302,2587,f,""
3612,1302,401,t,""
3613,1302,2594,f,""
3614,1302,2581,f,""
3615,1411,2587,f,""
3616,1411,401,t,""
3617,1411,2590,f,""
3618,1412,401,f,""
3619,1412,2587,f,""
3620,1412,2585,f,""
3621,1412,2590,t,""
3622,1413,401,t,""
3623,1413,2594,f,""
3624,1413,2587,f,""
3625,1394,2587,f,""
3626,1396,2587,f,""
3627,1396,401,f,""
3628,1358,401,f,""
3629,1414,2581,f,""
3630,1414,401,f,""
3631,1414,2587,t,""
3632,1414,2585,f,""
3633,1414,2583,f,""
3634,1415,2587,t,""
3635,1415,401,f,""
3636,1415,1539,f,""
3637,1415,2581,f,""
3638,1415,2594,f,""
3639,1415,2617,f,""
3640,1416,947,t,""
3641,1416,401,f,""
3642,1416,1539,f,""
3643,1416,2617,f,""
3644,1416,2594,f,""
3717,1466,368,t,""
3718,1467,368,t,""
3719,1468,368,t,""
3720,1469,794,t,""
3752,1489,773,t,""
3770,1498,1539,t,""
3771,1498,873,f,""
3772,1498,1492,f,""
3792,1507,773,t,""
3793,1508,658,t,""
3794,1508,509,f,""
3795,1508,1492,f,""
3796,1508,2643,f,""
3797,1509,658,t,""
3798,1509,1492,f,""
3799,1509,509,f,""
3800,1509,2643,f,""
